,Document_1,Document_2
агамирян,0.05711007644525028,0.05821625547914886
агарцин,0.05608106605884937,0.05821625547914886
агарянин,0.055566560865648915,0.05821625547914886
агат,0.05402304528604756,0.05736013407504373
агатовый,0.05402304528604756,0.05564789126683347
агей,0.053508540092847105,0.05479176986272834
агент,0.05299403489964665,0.05479176986272834
агнец,0.0524795297064462,0.053935648458623205
агнушка,0.05196502451324575,0.053935648458623205
агония,0.049907003740443934,0.053935648458623205
агрессия,0.049907003740443934,0.05307952705451808
агриппа,0.04939249854724348,0.05307952705451808
агстев,0.048877993354043026,0.05307952705451808
агурамазд,0.048877993354043026,0.05307952705451808
ад,0.04836348816084258,0.05307952705451808
адажио,0.04733447777444167,0.052223405650412946
адам,0.04733447777444167,0.052223405650412946
адамов,0.046819972581241216,0.051367284246307814
адана,0.04630546738804076,0.051367284246307814
адепт,0.04579096219484031,0.051367284246307814
аджимушкать,0.04527645700163986,0.05051116284220269
административный,0.04476195180843941,0.049655041438097555
адмиральский,0.04476195180843941,0.049655041438097555
адоад,0.04476195180843941,0.049655041438097555
адовый,0.04424744661523895,0.04879892003399242
адрес,0.04270393103563759,0.047086677225782164
адресат,0.042664026722037514,0.047086677225782164
адский,0.042189425842437143,0.045374434417571906
аж,0.042189425842437143,0.045374434417571906
ажур,0.042189425842437143,0.04451831301346677
аз,0.042189425842437143,0.04451831301346677
азан,0.04167492064923669,0.04451831301346677
азарт,0.041160415456036235,0.04366219160936164
азат,0.041160415456036235,0.04366219160936164
азбука,0.04064591026283578,0.04366219160936164
азербайджан,0.04064591026283578,0.042806070205256515
азиз,0.04064591026283578,0.042806070205256515
азийский,0.04064591026283578,0.04194994880115138
азия,0.04013140506963533,0.04109382739704625
азнавур,0.03977155033410276,0.04109382739704625
азовский,0.03961689987643487,0.04109382739704625
азы,0.039102394683234426,0.04109382739704625
аи,0.039048431237119076,0.040237705992941124
аид,0.03858788949003397,0.03938158458883599
аида,0.03858788949003397,0.03938158458883599
аист,0.03807338429683352,0.03938158458883599
ай,0.03807338429683352,0.03852546318473086
айастан,0.03807338429683352,0.03852546318473086
айва,0.03807338429683352,0.03852546318473086
айвазовский,0.037558879103633064,0.03766934178062573
айвазян,0.03704437391043261,0.03766934178062573
айгеат,0.036529868717232156,0.03766934178062573
айгестан,0.036529868717232156,0.03766934178062573
айгешатки,0.036529868717232156,0.0368132203765206
айгешить,0.036529868717232156,0.0368132203765206
айк,0.036529868717232156,0.0368132203765206
айлюля,0.03615595484918433,0.0368132203765206
айма,0.03601536352403171,0.0368132203765206
