,TF-IDF
поэт воспевать,0.012224902335339741
культура ереван,0.012224902335339741
армянский культура,0.012224902335339741
ванский скала,0.012224902335339741
деревня мадина,0.012224902335339741
время стихотворение,0.012224902335339741
приходить пора,0.012224902335339741
свой сын,0.012224902335339741
минаков имярек,0.012224902335339741
памятник оставлять,0.012224902335339741
зеркало русский,0.012224902335339741
туча парус,0.012224902335339741
твой сын,0.012224902335339741
дружба народ,0.012224902335339741
ставрополь ставролит,0.012224902335339741
горный склон,0.012224902335339741
кровь армения,0.012224902335339741
это недавно,0.012224902335339741
поэма современник,0.012224902335339741
араратский долина,0.012224902335339741
книга елена,0.012224902335339741
арарат эривань,0.012224902335339741
это особо,0.012224902335339741
год год,0.012224902335339741
ван дверь,0.012224902335339741
ереван копь,0.012224902335339741
ставролит серия,0.012224902335339741
душа свой,0.012224902335339741
стих исаакян,0.012224902335339741
александрович минаков,0.012224902335339741
габриэлян тростниковый,0.012224902335339741
каменный колокол,0.012224902335339741
сапгир стихий,0.012224902335339741
сказуемое несовершенный,0.012224902335339741
пред ты,0.012224902335339741
соч время,0.012224902335339741
станислав александрович,0.012224902335339741
вечер ереван,0.012224902335339741
четыре том,0.012224902335339741
недавно это,0.012224902335339741
евфрат наш,0.012224902335339741
оставлять могила,0.012224902335339741
аветик исаакян,0.012224902335339741
имярек современник,0.012224902335339741
стихотворение ставрополь,0.012224902335339741
мой рука,0.012224902335339741
мандельштам собр,0.012224902335339741
гора дорога,0.012224902335339741
несовершенный вид,0.012224902335339741
послезавтра уезжать,0.012224902335339741
пред мы,0.012224902335339741
плескаться море,0.012224902335339741
стихий прометей,0.012224902335339741
народ еврей,0.012224902335339741
летний вечер,0.012224902335339741
церковь сурба,0.012224902335339741
черный шаль,0.012224902335339741
губа холодно,0.012224902335339741
копь принт,0.012224902335339741
сочинение четыре,0.012224902335339741
море ветер,0.012224902335339741
белый снег,0.012224902335339741
весь это,0.012224902335339741
поэзия амирханян,0.012224902335339741
стихотворение который,0.012224902335339741
ветер туча,0.012224902335339741
